user,date,label,score
DTAA/LDG0406,2011-04-13,1,440000000000.0
DTAA/NJH0593,2011-04-27,1,437000000000.0
DTAA/QOH0361,2011-04-13,1,435000000000.0
DTAA/LDG0406,2011-04-27,1,417000000000.0
DTAA/MCF0985,2011-04-27,1,417000000000.0
DTAA/PCO0684,2011-04-13,1,414000000000.0
DTAA/NJC0459,2011-04-27,1,410000000000.0
DTAA/WMJ0364,2011-04-13,1,407000000000.0
DTAA/NNS0898,2011-04-13,1,407000000000.0
DTAA/SMC0139,2011-04-13,1,407000000000.0
DTAA/SKW0871,2011-04-13,1,405000000000.0
DTAA/SJC0487,2011-04-13,1,401000000000.0
DTAA/SMC0139,2011-04-27,1,398000000000.0
DTAA/MDC0595,2011-04-27,1,397000000000.0
DTAA/STF0145,2011-04-27,1,392000000000.0
DTAA/MCF0985,2011-04-13,1,391000000000.0
DTAA/MDC0595,2011-04-13,1,389000000000.0
DTAA/PSP0555,2011-04-27,1,389000000000.0
DTAA/NBB0501,2011-04-13,1,384000000000.0
DTAA/WDW0485,2011-04-13,1,383000000000.0
DTAA/PCO0684,2011-04-27,1,383000000000.0
DTAA/QLW0941,2011-04-13,1,383000000000.0
DTAA/SIP0805,2011-04-27,1,378000000000.0
DTAA/NJH0593,2011-04-13,1,378000000000.0
DTAA/QGM0222,2011-04-13,1,376000000000.0
DTAA/SCK0576,2011-04-13,1,375000000000.0
DTAA/SCW0707,2011-04-13,1,373000000000.0
DTAA/RHP0688,2011-04-13,1,372000000000.0
DTAA/NRH0276,2011-04-27,1,372000000000.0
DTAA/ZRR0705,2011-04-27,1,372000000000.0
DTAA/TCH0230,2011-04-27,1,370000000000.0
DTAA/NNS0898,2011-04-27,1,370000000000.0
DTAA/NRH0276,2011-04-13,1,370000000000.0
DTAA/QGM0222,2011-04-27,1,370000000000.0
DTAA/XQW0354,2011-04-27,1,370000000000.0
DTAA/PSP0555,2011-04-13,1,370000000000.0
DTAA/WTA0867,2011-04-13,1,369000000000.0
DTAA/MZB0206,2011-04-27,1,367999999999.99994
DTAA/SKW0871,2011-04-27,1,367000000000.0
DTAA/YCV0635,2011-04-27,1,367000000000.0
DTAA/PRB0157,2011-04-13,1,366000000000.0
DTAA/THL0671,2011-04-13,1,365000000000.0
DTAA/ZGH0528,2011-04-13,1,364000000000.0
DTAA/QOH0361,2011-04-27,1,363000000000.0
DTAA/TLV0936,2011-04-27,1,363000000000.0
DTAA/SJC0487,2011-04-27,1,363000000000.0
DTAA/TNB0740,2011-04-13,1,363000000000.0
DTAA/VMM0309,2011-04-13,1,362000000000.0
DTAA/RDG0335,2011-04-27,1,362000000000.0
DTAA/RDP0855,2011-04-13,1,362000000000.0
DTAA/SDC0032,2011-04-27,1,361000000000.0
DTAA/WSL0470,2011-04-13,1,361000000000.0
DTAA/TRP0068,2011-04-13,1,361000000000.0
DTAA/SDR0010,2011-04-13,1,360000000000.0
DTAA/QLW0941,2011-04-27,1,360000000000.0
DTAA/SAM0954,2011-04-27,1,360000000000.0
DTAA/MZB0206,2011-04-13,1,359000000000.0
DTAA/RDG0335,2011-04-13,1,358000000000.0
DTAA/VJD0704,2011-04-13,1,356000000000.0
DTAA/SDR0010,2011-04-27,1,355000000000.0
DTAA/WJG0153,2011-04-27,1,355000000000.0
DTAA/RHP0688,2011-04-27,1,354000000000.0
DTAA/XCB0445,2011-04-13,1,353000000000.0
DTAA/ZCA0652,2011-04-27,1,352000000000.0
DTAA/NSC0842,2011-04-13,1,351000000000.0
DTAA/TLV0936,2011-04-13,1,351000000000.0
DTAA/SAH0192,2011-04-13,1,351000000000.0
DTAA/YCV0635,2011-04-13,1,351000000000.0
DTAA/VKB0605,2011-04-13,1,350000000000.0
DTAA/VDP0070,2011-04-27,1,349000000000.0
DTAA/SMD0773,2011-04-13,1,349000000000.0
DTAA/SAH0192,2011-04-27,1,348000000000.0
DTAA/WPH0764,2011-04-27,1,348000000000.0
DTAA/SBK0108,2011-04-27,1,348000000000.0
DTAA/UMB0449,2011-04-13,1,348000000000.0
DTAA/NNB0443,2011-04-13,1,348000000000.0
DTAA/MRS0395,2011-04-27,1,347000000000.0
DTAA/SBH0674,2011-04-13,1,347000000000.0
DTAA/PJS0809,2011-04-27,1,347000000000.0
DTAA/SHS0608,2011-04-13,1,345000000000.0
DTAA/SCK0576,2011-04-27,1,345000000000.0
DTAA/SJC0735,2011-04-13,1,344000000000.0
DTAA/PRB0157,2011-04-27,1,344000000000.0
DTAA/NSP0910,2011-04-13,1,344000000000.0
DTAA/SGC0118,2011-04-13,1,344000000000.0
DTAA/TNB0740,2011-04-27,1,343000000000.0
DTAA/THL0671,2011-04-27,1,343000000000.0
DTAA/ONQ0625,2011-04-27,1,343000000000.0
DTAA/ZCA0652,2011-04-13,1,342000000000.0
DTAA/WTA0867,2011-04-27,1,342000000000.0
DTAA/SAS0433,2011-04-13,1,342000000000.0
DTAA/SIP0805,2011-04-13,1,342000000000.0
DTAA/XQW0354,2011-04-13,1,341000000000.0
DTAA/SIR0586,2011-04-13,1,341000000000.0
DTAA/RES0962,2011-04-13,1,340000000000.0
DTAA/SBK0108,2011-04-13,1,339000000000.0
DTAA/NHL0253,2011-04-27,1,337000000000.0
DTAA/SHS0608,2011-04-27,1,336000000000.0
DTAA/SDC0032,2011-04-13,1,336000000000.0
DTAA/SAM0954,2011-04-13,1,336000000000.0
DTAA/VKB0605,2011-04-27,1,335000000000.0
DTAA/WJR0592,2011-04-13,1,334000000000.0
DTAA/SSB0151,2011-04-13,1,333000000000.0
DTAA/RES0962,2011-04-27,1,333000000000.0
