id,date,user,pc,activity
1,2025-01-02 14:03:55.732503,U0070,PC0070,Connect
2,2025-01-02 15:25:55.732503,U0070,PC0070,Disconnect
3,2025-01-09 12:56:10.538963,U0055,PC0055,Connect
4,2025-01-16 09:55:59.104780,U0014,PC0014,Connect
5,2025-01-16 10:02:59.104780,U0014,PC0014,Disconnect
6,2025-01-17 11:11:55.696804,U0029,PC0029,Connect
7,2025-01-17 12:19:55.696804,U0029,PC0029,Disconnect
8,2025-01-17 10:24:49.010546,U0070,PC0070,Connect
9,2025-01-17 10:43:49.010546,U0070,PC0070,Disconnect
10,2025-01-20 11:47:44.848384,U0004,PC0004,Connect
11,2025-01-20 13:21:44.848384,U0004,PC0004,Disconnect
12,2025-01-20 10:37:15.943163,U0028,PC0028,Connect
13,2025-01-20 12:07:15.943163,U0028,PC0028,Disconnect
14,2025-01-20 13:10:58.167887,U0036,PC0036,Connect
15,2025-01-22 22:54:50.006101,U0029,PC0029,Connect
16,2025-01-23 09:33:49.921385,U0029,PC0029,Connect
17,2025-01-23 10:49:49.921385,U0029,PC0029,Disconnect
18,2025-01-28 10:06:06.364618,U0069,PC0069,Connect
19,2025-01-28 10:26:06.364618,U0069,PC0069,Disconnect
20,2025-01-31 09:55:26.139287,U0013,PC0013,Connect
21,2025-01-31 13:05:34.157731,U0030,PC0030,Connect
22,2025-01-31 14:16:34.157731,U0030,PC0030,Disconnect
23,2025-02-03 11:34:46.061557,U0072,PC0072,Connect
24,2025-02-03 12:50:46.061557,U0072,PC0072,Disconnect
25,2025-02-04 13:42:52.283220,U0014,PC0014,Connect
26,2025-02-04 15:36:52.283220,U0014,PC0014,Disconnect
27,2025-02-05 13:27:44.083274,U0072,PC0072,Connect
28,2025-02-05 15:11:44.083274,U0072,PC0072,Disconnect
29,2025-02-05 11:41:59.575472,U0079,PC0079,Connect
30,2025-02-05 13:39:59.575472,U0079,PC0079,Disconnect
31,2025-02-06 09:03:22.641889,U0072,PC0072,Connect
32,2025-02-06 10:55:22.641889,U0072,PC0072,Disconnect
33,2025-02-10 09:18:46.486114,U0012,PC0012,Connect
34,2025-02-11 13:23:44.851162,U0018,PC0018,Connect
35,2025-02-11 15:04:44.851162,U0018,PC0018,Disconnect
36,2025-02-11 12:35:02.779698,U0036,PC0036,Connect
37,2025-02-11 13:22:02.779698,U0036,PC0036,Disconnect
38,2025-02-11 10:43:18.615441,U0078,PC0078,Connect
39,2025-02-14 11:20:24.751568,U0015,PC0015,Connect
40,2025-02-14 11:48:24.751568,U0015,PC0015,Disconnect
41,2025-02-14 23:38:04.330576,U0029,PC0029,Connect
42,2025-02-15 00:48:04.330576,U0029,PC0029,Disconnect
43,2025-02-14 12:24:52.086796,U0072,PC0072,Connect
44,2025-02-14 12:44:52.086796,U0072,PC0072,Disconnect
45,2025-02-14 12:32:30.414828,U0079,PC0079,Connect
46,2025-02-14 13:15:30.414828,U0079,PC0079,Disconnect
47,2025-02-18 10:32:06.394487,U0078,PC0078,Connect
48,2025-02-18 11:05:06.394487,U0078,PC0078,Disconnect
49,2025-02-19 22:34:00,U0036,PC0036,Connect
50,2025-02-19 10:52:36.569587,U0046,PC0046,Connect
51,2025-02-19 12:43:36.569587,U0046,PC0046,Disconnect
52,2025-02-20 11:15:24.117767,U0079,PC0079,Connect
53,2025-02-20 12:46:24.117767,U0079,PC0079,Disconnect
54,2025-02-21 09:51:58.375584,U0065,PC0065,Connect
55,2025-02-21 10:44:58.375584,U0065,PC0065,Disconnect
56,2025-02-21 12:02:26.477989,U0078,PC0078,Connect
57,2025-02-21 13:58:26.477989,U0078,PC0078,Disconnect
58,2025-02-28 11:18:29.048805,U0015,PC0015,Connect
59,2025-02-28 12:55:29.048805,U0015,PC0015,Disconnect
60,2025-02-28 14:19:54.613718,U0072,PC0072,Connect
61,2025-02-28 15:42:54.613718,U0072,PC0072,Disconnect
