day,f1,precision,recall,accuracy,support
2010-01-04,0.0,0.0,0.0,0.85,1000.0
2010-01-05,0.0,0.0,0.0,0.85,1000.0
2010-01-06,0.0,0.0,0.0,0.85,1000.0
2010-01-07,0.8142857142857143,0.5058823529411764,0.98,0.85,1000.0
2010-01-08,0.0,0.0,0.0,0.85,999.0
2010-01-09,0.0,0.0,0.0,0.85,14.0
2010-01-11,0.965,0.955,0.98,0.85,999.0
2010-01-12,0.0,0.0,0.0,0.85,999.0
2010-01-13,0.0,0.0,0.0,0.85,999.0
2010-01-14,0.965,0.955,0.98,0.85,999.0
2010-01-15,0.0,0.0,0.0,0.85,999.0
2010-01-16,0.0,0.0,0.0,0.85,14.0
2010-01-18,0.965,0.7652173913043478,0.98,0.85,999.0
2010-01-19,0.0,0.0,0.0,0.85,999.0
2010-01-20,0.0,0.0,0.0,0.85,999.0
2010-01-21,0.0,0.0,0.0,0.85,999.0
2010-01-22,0.0,0.0,0.0,0.85,999.0
2010-01-23,0.0,0.0,0.0,0.85,14.0
2010-01-25,0.965,0.955,0.98,0.85,999.0
2010-01-26,0.0,0.0,0.0,0.85,999.0
2010-01-27,0.965,0.8500000000000001,0.98,0.85,999.0
2010-01-28,0.965,0.955,0.98,0.85,999.0
2010-01-29,0.0,0.0,0.0,0.85,998.0
2010-01-30,0.0,0.0,0.0,0.85,8.0
2010-02-01,0.0,0.0,0.0,0.85,998.0
2010-02-02,0.965,0.7515151515151515,0.98,0.85,998.0
2010-02-03,0.965,0.7416666666666667,0.98,0.85,998.0
2010-02-04,0.0,0.0,0.0,0.85,998.0
2010-02-05,0.0,0.0,0.0,0.85,996.0
2010-02-06,0.0,0.0,0.0,0.85,6.0
2010-02-08,0.0,0.0,0.0,0.85,996.0
2010-02-09,0.8400000000000001,0.525,0.98,0.85,996.0
2010-02-10,0.965,0.955,0.98,0.85,996.0
2010-02-11,0.965,0.955,0.98,0.85,996.0
2010-02-12,0.9447761194029851,0.6244897959183673,0.98,0.85,995.0
2010-02-13,0.0,0.0,0.0,0.85,15.0
2010-02-15,0.0,0.0,0.0,0.85,995.0
2010-02-16,0.965,0.955,0.98,0.85,995.0
2010-02-17,0.0,0.0,0.0,0.85,995.0
2010-02-18,0.0,0.0,0.0,0.85,995.0
2010-02-19,0.0,0.0,0.0,0.85,994.0
2010-02-20,0.0,0.0,0.0,0.85,8.0
2010-02-22,0.0,0.0,0.0,0.85,994.0
2010-02-23,0.965,0.72,0.98,0.85,994.0
2010-02-24,0.965,0.955,0.98,0.85,994.0
2010-02-25,0.0,0.0,0.0,0.85,994.0
2010-02-26,0.6375,0.38571428571428573,0.98,0.85,994.0
2010-02-27,0.0,0.0,0.0,0.85,9.0
2010-03-01,0.0,0.0,0.0,0.85,994.0
2010-03-02,0.965,0.955,0.98,0.85,994.0
2010-03-03,0.965,0.6333333333333333,0.98,0.85,994.0
2010-03-04,0.0,0.0,0.0,0.85,994.0
2010-03-05,0.965,0.8500000000000001,0.98,0.85,990.0
2010-03-06,0.0,0.0,0.0,0.85,10.0
2010-03-08,0.0,0.0,0.0,0.85,990.0
2010-03-09,0.965,0.825925925925926,0.98,0.85,990.0
2010-03-10,0.965,0.7850000000000001,0.98,0.85,990.0
2010-03-11,0.8760000000000001,0.5649122807017544,0.98,0.85,990.0
2010-03-12,0.965,0.6333333333333333,0.98,0.85,989.0
2010-03-13,0.0,0.0,0.0,0.85,16.0
2010-03-15,0.965,0.955,0.98,0.85,989.0
2010-03-16,0.965,0.8500000000000001,0.98,0.85,989.0
2010-03-17,0.965,0.6333333333333333,0.98,0.85,989.0
2010-03-18,0.0,0.0,0.0,0.85,989.0
2010-03-19,0.0,0.0,0.0,0.85,989.0
2010-03-20,0.0,0.0,0.0,0.85,16.0
2010-03-22,0.0,0.0,0.0,0.85,989.0
2010-03-23,0.0,0.0,0.0,0.85,989.0
2010-03-24,0.0,0.0,0.0,0.85,989.0
2010-03-25,0.0,0.0,0.0,0.85,989.0
2010-03-26,0.965,0.6814814814814815,0.98,0.85,987.0
2010-03-27,0.0,0.0,0.0,0.85,11.0
2010-03-29,0.0,0.0,0.0,0.85,987.0
2010-03-30,0.965,0.6679999999999999,0.98,0.85,987.0
2010-03-31,0.0,0.0,0.0,0.85,987.0
2010-04-01,0.965,0.76875,0.98,0.85,987.0
2010-04-02,0.0,0.0,0.0,0.85,18.0
2010-04-05,0.0,0.0,0.0,0.85,987.0
2010-04-06,0.965,0.6828571428571428,0.98,0.85,987.0
2010-04-07,0.965,0.955,0.98,0.85,987.0
2010-04-08,0.965,0.8500000000000001,0.98,0.85,987.0
2010-04-09,0.0,0.0,0.0,0.85,987.0
2010-04-10,0.0,0.0,0.0,0.85,11.0
2010-04-12,0.965,0.955,0.98,0.85,987.0
2010-04-13,0.965,0.6952380952380952,0.98,0.85,987.0
2010-04-14,0.965,0.955,0.98,0.85,987.0
2010-04-15,0.0,0.0,0.0,0.85,987.0
2010-04-16,0.965,0.6333333333333333,0.98,0.85,987.0
2010-04-17,0.0,0.0,0.0,0.85,8.0
2010-04-19,0.0,0.0,0.0,0.85,987.0
2010-04-20,0.965,0.6875,0.98,0.85,987.0
2010-04-21,0.965,0.955,0.98,0.85,987.0
2010-04-22,0.965,0.955,0.98,0.85,987.0
2010-04-23,0.0,0.0,0.0,0.85,987.0
2010-04-24,0.0,0.0,0.0,0.85,12.0
2010-04-26,0.790909090909091,0.4888888888888889,0.98,0.85,987.0
2010-04-27,0.0,0.0,0.0,0.85,987.0
2010-04-28,0.0,0.0,0.0,0.85,987.0
2010-04-29,0.0,0.0,0.0,0.85,987.0
2010-04-30,0.965,0.8500000000000001,0.98,0.85,986.0
2010-05-01,0.0,0.0,0.0,0.85,9.0
2010-05-03,0.965,0.955,0.98,0.85,986.0
2010-05-04,0.965,0.7281250000000001,0.98,0.85,986.0
2010-05-05,0.0,0.0,0.0,0.85,986.0
2010-05-06,0.0,0.0,0.0,0.85,986.0
2010-05-07,0.0,0.0,0.0,0.85,984.0
2010-05-08,0.0,0.0,0.0,0.85,12.0
2010-05-10,0.0,0.0,0.0,0.85,984.0
2010-05-11,0.8400000000000001,0.525,0.98,0.85,984.0
2010-05-12,0.9299999999999999,0.6333333333333333,0.98,0.85,984.0
2010-05-13,0.6375,0.38571428571428573,0.98,0.85,984.0
2010-05-14,0.965,0.955,0.98,0.85,984.0
2010-05-15,0.0,0.0,0.0,0.85,9.0
2010-05-17,0.965,0.955,0.98,0.85,984.0
2010-05-18,0.0,0.0,0.0,0.85,984.0
2010-05-19,0.0,0.0,0.0,0.85,984.0
2010-05-20,0.0,0.0,0.0,0.85,984.0
2010-05-21,0.965,0.955,0.98,0.85,983.0
2010-05-22,0.0,0.0,0.0,0.85,15.0
2010-05-24,0.0,0.0,0.0,0.85,983.0
2010-05-25,0.0,0.0,0.0,0.85,983.0
2010-05-26,0.0,0.0,0.0,0.85,983.0
2010-05-27,0.965,0.6642857142857144,0.98,0.85,983.0
2010-05-28,0.965,0.955,0.98,0.85,982.0
2010-05-29,0.0,0.0,0.0,0.85,17.0
2010-06-01,0.0,0.0,0.0,0.85,981.0
2010-06-02,0.0,0.0,0.0,0.85,981.0
2010-06-03,0.965,0.8500000000000001,0.98,0.85,981.0
2010-06-04,0.965,0.955,0.98,0.85,980.0
2010-06-05,0.0,0.0,0.0,0.85,6.0
2010-06-07,0.965,0.955,0.98,0.85,980.0
2010-06-08,0.0,0.0,0.0,0.85,980.0
2010-06-09,0.965,0.7949152542372881,0.98,0.85,980.0
2010-06-10,0.965,0.7571428571428571,0.98,0.85,980.0
2010-06-11,0.965,0.955,0.98,0.85,978.0
2010-06-12,0.0,0.0,0.0,0.85,11.0
2010-06-14,0.965,0.6875,0.98,0.85,978.0
2010-06-15,0.965,0.955,0.98,0.85,978.0
2010-06-16,0.965,0.955,0.98,0.85,978.0
2010-06-17,0.0,0.0,0.0,0.85,978.0
2010-06-18,0.965,0.6333333333333333,0.98,0.85,977.0
2010-06-19,0.0,0.0,0.0,0.85,16.0
2010-06-21,0.0,0.0,0.0,0.85,977.0
2010-06-22,0.965,0.8500000000000001,0.98,0.85,977.0
2010-06-23,0.0,0.0,0.0,0.85,977.0
2010-06-24,0.965,0.955,0.98,0.85,977.0
2010-06-25,0.0,0.0,0.0,0.85,977.0
2010-06-26,0.0,0.0,0.0,0.85,9.0
