threshold,precision,recall,f1,accuracy,tp,fp,tn,fn
0.0,0.01999970140786193,1.0,0.039215112279458904,0.01999970140786193,6698,328207,0,0
0.0033219223214257833,0.09969993516186915,0.9871603463720514,0.18110850897736144,0.8214628028844001,6612,59707,268500,86
0.0033333333333333335,0.0997570947933797,0.9871603463720514,0.1812028117677688,0.8215762678968663,6612,59669,268538,86
0.006666666666666667,0.11901869413065946,0.97999402806808,0.21225888858348557,0.8545229244114002,6564,48587,279620,134
0.01,0.13055211290129132,0.9750671842340998,0.23027290035963613,0.8696287006763112,6531,43495,284712,167
0.016666666666666666,0.14672890842756464,0.9667064795461332,0.25478584217049993,0.8869022558636032,6475,37654,290553,223
0.02,0.1532486717018894,0.9602866527321589,0.26431609443382853,0.8930890849643929,6432,35539,292668,266
0.02666666666666667,0.16453900709219857,0.9525231412361899,0.2806060739339828,0.9023215538734866,6380,32395,295812,318
0.03333333333333333,0.1759560109972507,0.9459540161242161,0.296719507340717,0.9103178513309744,6336,29673,298534,362
0.043333333333333335,0.1907479173659638,0.9332636607942669,0.31675492158402796,0.9194786581269315,6251,26520,301687,447
0.05333333333333334,0.20365995674596574,0.9138548820543446,0.33308845536418796,0.9268120810379062,6121,23934,304273,577
0.06666666666666667,0.22155555555555556,0.8931024186324276,0.35503590717550004,0.9351039847120826,5982,21018,307189,716
0.08,0.24115307335875671,0.8780232905344879,0.3783818562007399,0.9423030411609262,5881,18506,309701,817
0.09666666666666666,0.2691984304932735,0.8604060913705583,0.4100903721625276,0.950493423508159,5763,15645,312562,935
0.11666666666666667,0.30183727034120733,0.8412959092266348,0.44427799897504633,0.9579074662964124,5635,13034,315173,1063
0.13998179981640835,0.34711269397099975,0.8148701104807405,0.48684327892248686,0.9656439885937803,5458,10266,317941,1240
0.16333333333333333,0.40430124103908116,0.7830695730068677,0.5332723298256317,0.9725862558038847,5245,7728,320479,1453
0.19666666666666666,0.4813221200860551,0.7348462227530607,0.581659182226424,0.9788596766247145,4922,5304,322903,1776
0.23666666666666666,0.6129296235679215,0.6709465512093162,0.6406272273699216,0.9849449843985608,4494,2838,325369,2204
0.31327513935865126,0.769453734671126,0.5152284263959391,0.6171868013949745,0.9872172705692659,3451,1034,327173,3247
0.48,0.8874407582938388,0.2236488504031054,0.3572621035058431,0.9839058837580806,1498,190,328017,5200
